Name,Tags,Date,Réseau
Hello again. I had a quick chat with the Aust Fed Police this morning who would also be very keen to see any material you can pass on.,Grant Taylor,"April 16, 2015",Twitter
"Sorry if i’m sounding a bit pushy, but any chance of seeing the Leak and Pickering stuff today? And what time is it there? 10.30am here",Grant Taylor,"April 16, 2015",Twitter
I sent you the email. Did you receive it?,MoonMetropolis,"April 16, 2015",Twitter
I have. Just going thru now but what I have seen looks amazing. You actually got people to admit they were planning jihad. brilliant.,Grant Taylor,"April 16, 2015",Twitter
Go to bed and will send you a decent message tonight. Ta,Grant Taylor,"April 16, 2015",Twitter
"Thanks! I wish I could have taken more screenshots, but I’m glad that what I saved was good enough. I look forward to hearing back from you!",MoonMetropolis,"April 16, 2015",Twitter
